bucket ID 	 bug ID 	 crash version 	 crashes 	 bug fixing changes 	 bug inducing changes
105870	149306	76d51071af8a	501405|446585|347060|345896|327745|326027|290067|235096|232290|230905|226081|217713|214851|214822|214809|213069|213025|206283|201394|200026|197802|197549|196312|196031|195916|194637|192620|191953|191392|191285|188878|188295|187171|183946|183945|183827|183493|182371|181736|181666|181665|181200|178301|176220|175461|173896|173272|171756|171676|171066|170508|170498|169605|168447|167239|167035|166823|165921|165653|165616|165492|164886|164525|163136|162083|161741|161298|161182|160864|160778|159065|157740|156479|155664|155530|154110|152871|152768|151934|151092|150105|150030|149098|149093|148603|148532|148531|148049	39b46be59ff5c189489a7b32ed9c77ca4dfb8855	b6a7e9013f33|a9e8ba8ee474
62573	188871	76d51071af8a	203961|203960|203946|198880|197450|189873|180468|178195|161362|159433|158158|157322|157290|147361	b2f6144b66d2ff390c5f623953658111307e1f81	8c3c397c5a77|6884008a7fc2
145095	173915	76d51071af8a	152917	1a8d5d259f3d04d92057663bda9bb15f094bade4|b4abcaea1bc0662c5f558b03fbe67b1de6581993|259a2d6ab52c33e88110641ff2891637593db3db	844b7afaf0eb
149446	217907	76d51071af8a	190020	732809ec930f4e37502e361e50b7820446c08110	ee69677e6ed9
124786	150540	76d51071af8a	181314|181312|181119|179786|173148|170601|170600|170598|170597|170595|164478|158168|158165|158164|158163|155228|155227	c8a4967de00c2e97819b6ab17d412de65abeae5a	31d9edd19d0e|a823ec3eab50|dced29ff7242|ba9fd7dd4576|61fc16c88322
146339	162734	76d51071af8a	163621	b9251d57bd7341d7733ce20fd29f1ed1b932c4e0	423080123a29|5c85e14db273|2683baca2630
147666	160387	76d51071af8a	338989|225324	c78adc571720bd2d1c42e4aea00bdcb2c7d1223a	e48998b43dce
29060	179416	76d51071af8a	189213|174310	83717871204fb31933d034d15e9dc0751c6d9710	d19bfd6c52d4
12950	123392	76d51071af8a	152568|150919	cda298e9fe35c3b19ceba91bafeb6109a10a8c28	a312f3acff7a|95de34f35c9a
138242	162541	76d51071af8a	189870|171119|161375|157312|157309	4088e62f8e169c9cd808eae9cfdef12adc208360	b08a6baa92df
152176	166500	76d51071af8a	339388|294968|211777|145849	abb1af7936b33b8637a6635d470dcfb29b4fe980	089c4eae387a|d58c9315a741|1b8b4273743a
152374	171140	76d51071af8a	213557	0e6f7f3bf7e5211f083f46f6c048645341766bae	cb317d902f77
150197	163842	76d51071af8a	195735	636cd81704268087c8bd109bcb8b605c6828d6cf	8559551465d2
46514	156699	76d51071af8a	197274|167423|166413|153887|153145	16282b1580d53e8eaebe6e28c44b10f6ffc02eb8	7f91fc9b5801
153265	168274	76d51071af8a	222658	b0ce7fbe41c78852b7bc8a7b8ce11ae14eaf6df4	80d50cf18862|fecbb84237a5
12160	150390	76d51071af8a	220728|218352|190087|180101|168480|167313	a2d479c2d06a0747ca848ccb954ade840b071808	474e54ef3dee|1460cc49cf1c
153267	168124	76d51071af8a	261834	633f948c2b565d646b44ca2d4d392499dedee4e0	af9ec0b1a918
67756	161212	76d51071af8a	180963	df5ed02acd7b7a94de0859bfb85be8c2d7fad2ef	18cc1e9f475e|ba0e4eef285b
119504	156916	76d51071af8a	195602|184046|169954|166515|154975|149006|148635|146571|146235	5d3509cbd634c33f6b388e00ea3b9d53e70651f6	8559551465d2
132903	152366	76d51071af8a	226301|204159|177864|168677|157503|157477|153278|152910|152909	da39806fd875b0e12b5ea47a4c97a439c7a5ba16|a64aac5e66c95ec57f522ef4f212fc2886218c54	8559551465d2
1347	116030	76d51071af8a	204436|167057|151745|148449	01bf375b45a2cc4c44e95686028892e4ad7af167	bb5436a892c1
80198	134854	76d51071af8a	217777|201952|173727	b2ee4d20bf9b9a7546897984fdaeb7cb4066598b|3af37c87e6344f71545c09516595ab4bc423f6f3|d09c88e22532d0de7079b7c19453374a7e974c38	7e22a9fd89f9|bb5436a892c1|cd170c3dea3f
144329	161635	76d51071af8a	200285|177712|154008|151967|146912|146893	8cd0c69c485df85aff00699672a1ced2f0d6eddb	8559551465d2
133522	153335	76d51071af8a	188633|188592|188590|165882|165881|151446	7caadc02fee22354cf7142a4adacd4f0799d62d3	c8a4967de00c
136319	162595	76d51071af8a	194593|190175|190102|153680	8d60f647ad73d47b9d1313811a4dcf48fbb2b1db|e970030d5df58cca5a9dfaee5e2678a14f77a2f2	8559551465d2
42983	131943	76d51071af8a	291764|236723|230185|220053|217411|217272|215845|211901|211628|208847|194824|190664|190005|188139|188138|183886|181004|179455|178114|178019|177768|176423|176073|175656|175409|171574|169271|168649|166477|166364|165615|164413|162116|161373|161055|160559|160424|158920|158319|158110|157864|157863|157858|157241|157162|156299|156033|155522|153157|152300|151661|151025|148227|148122|148121|146535|146346	dc8aae6de684d15da67c57fbf35e87f56b6385ff|f2aba681c5bcefd3464e1a084bdf8c44f7d68066	7a72333f2786|1c23d0d5a1a5
133244	152227	76d51071af8a	228125|205030|177806|152963	74755896d66ccff53dfec2b1f49671461fdd3345	bfc92305b19c
146284	165992	76d51071af8a	162934	b0f5e46c6122d3703da127fba93ae3d5c380fce4	4de24bbddd0a
165357	180872	76d51071af8a	160300	e1d55a9a468e9b83bbae2aa8ffee95a3482454d7	1b4a7852abcb
144461	155618	76d51071af8a	147892	ec462531d89339129ed686e051a05ccd981d13ec	ab7022e3e320|e149bec37257
146440	224777	76d51071af8a	164592	b0aa33fc25cfa53fff36bc3466c8cb7289bc0b1d	7e22a9fd89f9
145149	182558	76d51071af8a	153222	6c0c92c67ebd2f4feab905b7e7609789173d5b1c	9f7b78f36beb
7612	154894	76d51071af8a	246152|218139|218138|179676|166149|159198|159195|159192|158787|153788|153703|152795|152793|152791|152790|152788|151882|150660|149109	70c66fa25606a4b49e7e6b5f382ee069f04d299a	b9883f324499
151584	165732	76d51071af8a	206502	8a6ca676de567d313ef41d4c3ca830bb0517b179	ea9d34413f1b
145505	157361	76d51071af8a	206343|206336|177540|165250|164711|163991|160558|156009	fad23e53083ca0ca92438a70e7731973a9362219|78199517f170ec4bc60039cedccb0c29719b9e3f	78199517f170|63608ddca04e
54619	153779	76d51071af8a	251761|232323|201895|195083|189768|189418|188253|178475|175042|173648|172651|172449|153694|153414|151579|150414	ec42ac65a1d20d8d4f49bc1c15af73c94336a85e|5c29bc5543e1b5ac67c6178a0c5ecb3f02fb1d23	87bb18f0674d
19454	152998	76d51071af8a	218374|149713	df4b717bfe943a7ea4a5365d7338ac12041496cc	f9e675107c09|bb5436a892c1|89f954dc6548
144392	168543	76d51071af8a	147419	b05c8a2432c8fb883b362a17b293f339096e1fca|ccde0461350d23ad7f64f9122bc146d2e1ee763b	ba0be3b7654a|be0c19d56f0b
75311	144758	76d51071af8a	513917|506675|433557|326837|326830|304512|270671|270152|265555|265554|263533|263487|263485|263472|263374|263373|250894|250892|230857|224785|224784|219206|214027|213275|207794|207793|207792|207496|196631|195898|193020|192346|192344|192173|189590|172066|172064|172061|172059|172056|172055|172054|172051|170996|170501|168872|166146|164841|164417|162943|158761|155954|155646|155645|153681|153010|151233|148007|147647	9fe0f954b2b081ee18bd492fdd979cf1f02cca45	9e29145f1f6b
55032	164998	76d51071af8a	191140	29bdac881444424bc6640a9283fde68ba1730e1a	8559551465d2|404845154ed8
145679	163109	76d51071af8a	157336	ee2e5868def4bc7237933418c431740086ffe7e6	eaebd48599b8
144547	155810	76d51071af8a	148490	15a54f434df33427f7bbcc912586d75e71b5f27a	db587f5647d0
